"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"356","Connor McDavid","EDM","C","8","171.56666666667","10","10","5","5","20","95.24","35","28.57","3.5","53","44","40","13","2","1","2","1","1","0","0","6","9","7","7","12","6","53","48","52.48"
"68","Erik Karlsson","S.J","D","6","162.11666666667","7","8","3","5","15","88.24","35","20.00","1.83","60","42","27","3","6","7","6","3","3","0","0","1","5","7","4","7","2","0","0","-"
"306","Leon Draisaitl","EDM","C","8","172.55","6","9","8","1","15","75.00","27","22.22","3.14","40","36","29","15","1","5","2","1","1","0","0","1","5","5","5","10","8","105","79","57.07"
"466","Tage Thompson","BUF","R","8","141.35","9","6","3","3","15","100.00","45","20.00","4.89","78","58","45","25","2","9","4","2","2","0","0","1","3","1","0","10","2","34","50","40.48"
"357","Jack Eichel","VGK","C","7","134.63333333333","6","6","5","1","12","80.00","30","20.00","2.57","44","32","24","6","1","2","0","0","0","0","0","2","8","5","7","6","5","28","41","40.58"
"516","Jason Robertson","DAL","L","6","103.31666666667","7","5","1","4","12","85.71","30","23.33","3.18","47","38","29","13","2","4","2","1","1","0","0","0","5","6","3","5","0","0","0","-"
"261","Carter Verhaeghe","FLA","C","7","134.06666666667","6","5","2","3","11","91.67","25","24.00","2.89","47","34","28","13","0","5","4","2","2","0","0","2","4","2","3","10","3","1","1","50.00"
"279","Nathan MacKinnon","COL","C","5","112.66666666667","0","11","7","4","11","84.62","29","0.00","2.28","45","38","18","6","3","2","6","3","3","0","0","3","1","3","2","4","4","38","49","43.68"
"325","Brandon Montour","FLA","D","7","193.8","3","8","3","5","11","68.75","29","10.34","1.96","52","41","21","4","1","6","6","3","3","0","0","1","4","5","12","6","10","0","0","-"
"390","Mitchell Marner","TOR","R","7","149","2","9","3","6","11","91.67","15","13.33","1.69","33","27","15","5","1","3","2","1","1","0","0","1","3","9","10","9","1","0","0","-"
