"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"21","Keith Kinkaid","BOS","1","59.9","31","30","1","0.968","1.00","1.97","2.92","9","8","1","0.889","1.00","0.61","9","9","0","1.000","0.00","0.97","11","11","0","1.000","0.00","0.44","0","5","37.65","8.00"
"75","Akira Schmid","N.J","6","282.01666666667","133","125","8","0.940","1.70","4.72","13.31","28","24","4","0.857","0.85","1.01","38","36","2","0.947","0.43","2.11","60","58","2","0.967","0.43","0.40","2","20","37.35","19.75"
"31","Linus Ullmark","BOS","18","1021.75","509","478","31","0.939","1.82","17.69","42.13","128","110","18","0.859","1.06","4.90","125","118","7","0.944","0.41","6.50","211","205","6","0.972","0.35","2.43","26","70","39.26","21.16"
"39","Pheonix Copley","L.A","1","59.966666666667","33","31","2","0.939","2.00","1.16","2.8","7","6","1","0.857","1.00","0.25","11","11","0","1.000","0.00","1.19","14","13","1","0.929","1.00","-0.44","1","4","34.94","32.50"
"24","Magnus Hellberg","OTT","1","60","31","29","2","0.935","2.00","0.97","2.94","12","10","2","0.833","2.00","0.15","6","6","0","1.000","0.00","0.65","13","13","0","1.000","0.00","0.52","3","5","28.45","12.50"
"74","Kevin Lankinen","NSH","7","395.61666666667","229","214","15","0.934","2.27","6.91","21.76","64","58","6","0.906","0.91","5.45","54","50","4","0.926","0.61","1.83","97","92","5","0.948","0.76","-1.12","17","40","36.58","25.80"
"52","Ilya Samsonov","TOR","10","576.36666666667","267","249","18","0.933","1.87","7.54","25.1","75","66","9","0.880","0.94","4.42","72","64","8","0.889","0.83","-0.22","105","104","1","0.990","0.10","3.20","24","43","36.83","18.94"
"27","Matt Murray","TOR","9","539.41666666667","311","290","21","0.932","2.34","8.75","31.04","89","77","12","0.865","1.33","3.92","95","88","7","0.926","0.78","3.26","116","114","2","0.983","0.22","2.63","33","61","32.48","18.76"
"30","Connor Hellebuyck","WPG","20","1202.6833333333","665","620","45","0.932","2.24","18.61","63.82","187","159","28","0.850","1.40","5.45","178","170","8","0.955","0.40","11.23","261","252","9","0.966","0.45","1.43","36","100","35.83","21.27"
"44","Ilya Sorokin","NYI","19","1082.3166666667","572","530","42","0.927","2.33","12.72","59.82","181","153","28","0.845","1.55","4.38","151","142","9","0.940","0.50","7.31","216","211","5","0.977","0.28","3.63","33","114","33.37","20.71"
"60","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.24","1.62","4","4","0","1.000","0.00","0.72","3","2","1","0.667","3.00","-0.68","5","5","0","1.000","0.00","0.20","1","0","28.00","28.00"
"71","Alexandar Georgiev","COL","18","1088.4","601","553","48","0.920","2.65","9.49","51.4","159","137","22","0.862","1.21","6.44","131","118","13","0.901","0.72","1.15","274","261","13","0.953","0.72","-2.05","32","89","36.79","22.19"
"36","Tristan Jarry","PIT","18","1087.4833333333","614","564","50","0.919","2.76","8.73","49.65","160","128","32","0.800","1.77","-3.38","159","149","10","0.937","0.55","7.18","258","250","8","0.969","0.44","2.31","29","68","36.96","19.90"
