"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"402","Connor McDavid","EDM","C","28","636.43333333333","25","29","18","11","54","87.10","110","22.73","13.44","161","140","112","44","6","8","16","8","8","0","0","14","34","22","28","37","12","177","161","52.37"
"341","Leon Draisaitl","EDM","C","28","621.61666666667","19","27","23","4","46","67.65","89","21.35","10.34","148","122","96","35","2","15","16","8","8","0","0","11","43","28","15","40","19","285","246","53.67"
"584","Jason Robertson","DAL","L","28","508.23333333333","23","19","10","9","42","76.36","122","18.85","13.22","202","157","119","53","3","19","8","4","4","0","0","3","25","26","14","25","4","0","0","-"
"523","Tage Thompson","BUF","C, R","28","524.28333333333","21","20","11","9","41","75.93","130","16.15","13.28","219","172","133","59","7","18","18","9","9","0","0","8","13","14","15","30","8","140","196","41.67"
"193","Nikita Kucherov","T.B","R","27","580.05","11","28","18","10","39","84.78","98","11.22","11.37","193","142","113","35","16","16","20","10","10","0","0","19","42","21","26","41","11","0","0","-"
"17","Sidney Crosby","PIT","C","28","558.35","17","21","11","10","38","79.17","83","20.48","10.68","153","114","100","41","8","15","16","8","8","0","0","5","19","24","34","35","14","311","278","52.80"
"357","David Pastrnak","BOS","R","27","539.5","19","19","12","7","38","77.55","136","13.97","13.07","248","181","119","37","7","18","16","7","7","0","0","13","39","19","32","51","5","5","6","45.45"
"72","Erik Karlsson","S.J","D","30","753.15","12","25","15","10","37","62.71","89","13.48","5.45","207","119","91","13","21","15","8","4","4","0","0","7","41","23","12","42","32","0","0","-"
"472","Matthew Tkachuk","FLA","L","27","559.06666666667","13","24","13","11","37","74.00","104","12.50","15.3","185","142","122","65","9","23","41","15","13","1","1","16","25","15","19","29","8","7","10","41.18"
"409","Mikko Rantanen","COL","R","26","576.56666666667","19","17","13","4","36","67.92","77","24.68","9.37","132","105","71","28","5","12","18","9","9","0","0","10","10","19","25","29","14","71","97","42.26"
"437","Mitchell Marner","TOR","R","29","625.83333333333","12","23","11","12","35","74.47","74","16.22","8.43","153","104","77","23","4","11","12","6","6","0","0","6","34","34","26","42","22","0","1","0.00"
"310","Nathan MacKinnon","COL","C","23","503.5","8","26","15","11","34","69.39","120","6.67","10.95","195","158","109","37","8","11","20","10","10","0","0","16","10","15","20","24","14","196","223","46.78"
"449","Artemi Panarin","NYR","L","29","592.56666666667","6","28","16","12","34","82.93","71","8.45","6.94","153","109","72","13","2","14","12","6","6","0","0","6","24","9","6","16","4","0","2","0.00"
"458","Kirill Kaprizov","MIN","L","27","568.4","17","17","12","5","34","79.07","115","14.78","12.78","205","153","125","46","3","18","15","6","5","1","0","13","14","17","24","45","11","0","2","0.00"
"475","Auston Matthews","TOR","C","29","588.76666666667","15","19","14","5","34","60.71","129","11.63","15.37","228","184","158","61","4","22","10","5","5","0","0","14","29","28","46","47","34","207","201","50.74"
"577","Elias Pettersson","VAN","C","28","555.41666666667","13","21","11","10","34","64.15","92","14.13","10.07","179","133","96","30","3","11","4","2","2","0","0","10","18","25","22","28","30","141","181","43.79"
"66","Steven Stamkos","T.B","C","27","532.95","15","18","13","5","33","62.26","93","16.13","12.71","168","132","110","39","18","20","16","8","8","0","0","5","20","10","28","26","21","172","158","52.12"
