"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"39","Jonas Johansson","COL","1","23.25","7","7","0","1.000","0.00","0.69","0.67","2","2","0","1.000","0.00","0.37","2","2","0","1.000","0.00","0.22","3","3","0","1.000","0.00","0.12","0","2","38.57","-"
"51","Connor Ingram","ARI","1","59.35","31","30","1","0.968","1.01","2.07","2.7","7","7","0","1.000","0.00","1.31","7","6","1","0.857","1.01","-0.22","16","16","0","1.000","0.00","0.63","0","2","37.16","40.00"
"67","Samuel Ersson","PHI","3","179.63333333333","86","83","3","0.965","1.00","5.50","8.74","25","25","0","1.000","0.00","4.66","29","27","2","0.931","0.67","1.25","27","26","1","0.963","0.33","0.07","6","12","32.95","27.67"
"5","Thomas Greiss","STL","2","119.33333333333","74","71","3","0.959","1.51","4.32","6.08","14","12","2","0.857","1.01","0.61","20","19","1","0.950","0.50","1.24","35","35","0","1.000","0.00","1.38","4","9","37.01","20.00"
"33","Juuse Saros","NSH","5","298.73333333333","194","185","9","0.954","1.81","10.18","17.32","58","52","6","0.897","1.21","4.82","50","47","3","0.940","0.60","2.60","75","75","0","1.000","0.00","2.96","14","27","34.70","15.89"
"46","Dan Vladar","CGY","2","100.48333333333","40","38","2","0.950","1.19","1.96","3.95","11","10","1","0.909","0.60","1.05","11","10","1","0.909","0.60","0.23","13","13","0","1.000","0.00","0.51","2","4","37.43","16.00"
"55","Filip Gustavsson","MIN","3","174.31666666667","78","74","4","0.949","1.38","3.71","7.05","12","10","2","0.833","0.69","0.24","26","25","1","0.962","0.34","1.91","37","36","1","0.973","0.34","0.46","9","11","39.91","26.00"
"31","Linus Ullmark","BOS","3","176.25","87","82","5","0.943","1.70","3.60","7.23","22","19","3","0.864","1.02","1.10","22","21","1","0.955","0.34","1.47","36","35","1","0.972","0.34","0.42","6","20","36.77","23.60"
"58","Jake Oettinger","DAL","5","303.71666666667","153","144","9","0.941","1.78","6.13","16.41","48","42","6","0.875","1.19","2.96","41","38","3","0.927","0.59","1.60","56","56","0","1.000","0.00","2.21","17","30","34.13","14.78"
"49","Adin Hill","VGK","3","137.68333333333","83","78","5","0.940","2.18","3.21","8.04","21","19","2","0.905","0.87","1.92","20","17","3","0.850","1.31","-0.76","40","40","0","1.000","0.00","1.58","6","18","33.54","14.40"
