"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"396","Connor McDavid","EDM","C","48","201.3","16","27","18","9","43","84.31","65","24.62","9.62","99","81","74","25","1","6","2","1","1","0","0","2","18","4","4","15","1","8","7","53.33"
"336","Leon Draisaitl","EDM","C","46","194.61666666667","16","19","14","5","35","68.63","62","25.81","9.35","99","83","62","25","0","11","4","2","2","0","0","1","7","3","2","13","1","112","94","54.37"
"190","Ryan Nugent-Hopkins","EDM","C","48","201.71666666667","7","22","7","15","29","56.86","34","20.59","5.16","57","45","42","16","0","5","2","1","1","0","0","1","3","0","4","5","2","6","10","37.50"
"189","Nikita Kucherov","T.B","R","45","188.26666666667","6","22","12","10","28","84.85","45","13.33","4.89","87","65","45","6","4","3","4","2","2","0","0","2","16","4","4","7","1","0","0","-"
"353","David Pastrnak","BOS","R","46","176.45","14","13","9","4","27","77.14","73","19.18","7.3","129","100","51","12","0","9","4","2","2","0","0","1","16","2","1","10","2","1","0","100.00"
"515","Tage Thompson","BUF","C, R","46","166.8","14","11","5","6","25","73.53","59","23.73","5.08","91","71","43","8","2","3","0","0","0","0","0","1","5","1","1","7","0","12","13","48.00"
"453","Kirill Kaprizov","MIN","L","45","177.05","12","12","10","2","24","75.00","63","19.05","9.82","106","84","74","29","1","11","0","0","0","0","0","4","4","0","1","5","1","0","0","-"
"571","Jason Robertson","DAL","L","49","153.8","7","17","11","6","24","80.00","59","11.86","6.9","108","76","52","13","1","11","6","3","3","0","0","0","3","1","0","3","1","0","0","-"
"467","Matthew Tkachuk","FLA","L","46","193.81666666667","8","15","6","9","23","71.88","55","14.55","10.98","88","74","70","52","3","17","0","0","0","0","0","0","9","1","0","10","0","1","7","12.50"
"643","Rasmus Dahlin","BUF","D","45","181.08333333333","5","18","11","7","23","65.71","30","16.67","2.61","57","38","17","3","1","3","4","2","2","0","0","1","6","0","3","4","1","0","0","-"
"27","Brad Marchand","BOS","L","38","131.61666666667","7","15","10","5","22","70.97","27","25.93","3.61","52","40","31","5","0","4","4","2","2","0","0","1","12","1","2","5","0","8","4","66.67"
"66","Steven Stamkos","T.B","C","45","186.63333333333","9","13","8","5","22","64.71","62","14.52","7.51","110","85","66","12","9","8","4","2","2","0","0","0","8","1","3","8","0","60","46","56.60"
"93","John Tavares","TOR","C","48","176.75","9","13","8","5","22","68.75","60","15.00","11.8","88","80","76","53","1","15","4","2","2","0","0","0","7","0","1","9","0","113","77","59.47"
"316","Josh Morrissey","WPG","D","48","162.58333333333","1","21","12","9","22","70.97","13","7.69","1.77","46","26","13","2","1","1","2","1","1","0","0","0","4","1","1","1","5","0","0","-"
"432","Mitchell Marner","TOR","R","48","184.18333333333","5","17","3","14","22","66.67","30","16.67","3.34","60","38","27","4","0","7","2","1","1","0","0","0","14","4","1","9","1","0","0","-"
"108","Tyson Barrie","EDM","D","48","159.81666666667","2","19","7","12","21","53.85","23","8.70","2.05","53","33","11","1","0","6","4","2","2","0","0","1","3","6","2","1","2","0","0","-"
"194","Mika Zibanejad","NYR","C","47","190.33333333333","13","8","5","3","21","75.00","66","19.70","8.15","120","94","50","11","0","6","2","1","1","0","0","1","7","1","0","2","0","8","10","44.44"
"405","Mikko Rantanen","COL","R","45","202.05","6","15","13","2","21","61.76","41","14.63","5.73","72","58","36","9","2","5","2","1","1","0","0","1","5","2","2","11","0","18","37","32.73"
"584","Cale Makar","COL","D","42","179.23333333333","5","16","10","6","21","72.41","30","16.67","3.06","74","48","28","1","0","6","4","2","2","0","0","0","6","1","2","3","3","0","0","-"
"602","Drake Batherson","OTT","R","46","177.21666666667","11","10","6","4","21","63.64","36","30.56","8.31","68","54","58","33","0","8","4","2","2","0","0","0","7","2","3","11","1","0","1","0.00"
"11","Evgeni Malkin","PIT","C","46","188.63333333333","6","14","7","7","20","80.00","43","13.95","6.63","91","63","59","16","2","8","0","0","0","0","0","1","15","3","2","8","0","23","15","60.53"
"199","J.T. Miller","VAN","C","46","183.5","8","12","10","2","20","64.52","46","17.39","4.73","91","70","46","11","1","7","4","2","2","0","0","0","9","2","3","5","0","1","3","25.00"
"306","Aleksander Barkov","FLA","C","39","164.56666666667","7","13","7","6","20","68.97","33","21.21","3.31","59","44","29","6","1","6","0","0","0","0","0","1","5","3","1","9","0","101","68","59.76"
"392","Kyle Connor","WPG","L","48","162.9","6","14","9","5","20","64.52","48","12.50","5.45","93","67","55","10","2","9","0","0","0","0","0","1","6","1","0","4","0","0","0","-"
"479","Alex DeBrincat","OTT","R","46","195.46666666667","6","14","9","5","20","58.82","48","12.50","6.16","90","60","59","8","1","10","0","0","0","0","0","1","2","4","2","5","1","0","0","-"
"627","Quinn Hughes","VAN","D","42","169.2","1","19","9","10","20","76.92","28","3.57","1.85","60","37","17","3","0","4","4","2","2","0","0","0","4","2","0","5","2","0","0","-"
"628","Brady Tkachuk","OTT","L","46","195.5","5","15","10","5","20","55.56","56","8.93","12.23","85","78","73","55","0","12","11","4","3","1","0","4","8","0","4","5","2","86","100","46.24"
"196","Dougie Hamilton","N.J","D","46","153.63333333333","4","15","9","6","19","76.00","32","12.50","2.6","74","43","29","3","4","9","2","1","1","0","0","0","4","0","1","1","3","0","0","-"
"305","Nathan MacKinnon","COL","C","34","154.1","4","15","7","8","19","61.29","61","6.56","6.48","100","82","49","9","1","6","4","2","2","0","0","1","2","1","2","4","0","28","44","38.89"
"443","Artemi Panarin","NYR","L","47","191.28333333333","2","17","12","5","19","67.86","37","5.41","4.72","93","66","47","5","0","8","6","3","3","0","0","1","7","0","2","1","0","0","0","-"
"42","Jamie Benn","DAL","L","49","134.88333333333","10","8","5","3","18","62.07","37","27.03","7.81","52","47","46","30","0","3","2","1","1","0","0","0","7","4","4","6","0","60","52","53.57"
"74","Roman Josi","NSH","D","46","162.86666666667","6","12","4","8","18","85.71","53","11.32","4.02","88","64","23","4","0","10","2","1","1","0","0","1","2","1","4","2","6","0","0","-"
"127","Mats Zuccarello","MIN","R","43","166.6","7","11","6","5","18","60.00","38","18.42","3.07","66","50","22","5","0","8","2","1","1","0","0","2","5","1","3","2","1","0","0","-"
"147","Zach Hyman","EDM","L","47","167.86666666667","12","6","1","5","18","45.00","42","28.57","9.45","60","56","60","48","1","5","4","2","2","0","0","1","4","0","0","7","0","0","0","-"
"339","William Nylander","TOR","R","48","184.78333333333","6","12","11","1","18","52.94","43","13.95","6.77","73","60","51","20","1","7","0","0","0","0","0","0","3","0","0","9","2","1","3","25.00"
"470","Auston Matthews","TOR","C","46","176.98333333333","10","8","4","4","18","56.25","58","17.24","7.75","102","79","67","21","0","6","4","2","2","0","0","0","8","2","7","6","1","6","8","42.86"
"509","Pierre-Luc Dubois","WPG","L","48","162.83333333333","8","10","5","5","18","62.07","48","16.67","9.79","71","62","56","36","0","12","6","3","3","0","0","3","2","2","0","10","1","37","35","51.39"
"705","Jack Hughes","N.J","C","46","152.08333333333","6","12","5","7","18","72.00","49","12.24","6.3","84","62","48","9","2","4","0","0","0","0","0","4","15","0","1","10","0","3","5","37.50"
"742","Tim Stützle","OTT","L","42","160.45","7","11","3","8","18","75.00","30","23.33","4.37","60","46","32","9","0","7","0","0","0","0","0","0","9","1","3","8","1","1","2","33.33"
"10","Alex Ovechkin","WSH","L","48","241.83333333333","9","8","4","4","17","56.67","66","13.64","7.05","148","99","48","7","0","8","4","2","2","0","0","1","4","7","4","5","0","0","0","-"
"71","Erik Karlsson","S.J","D","48","160.26666666667","3","14","5","9","17","68.00","22","13.64","1.94","60","31","22","2","3","4","0","0","0","0","0","0","5","2","0","4","1","0","0","-"
"279","Pavel Buchnevich","STL","L","38","117.15","7","10","5","5","17","70.83","13","53.85","2.97","29","24","22","11","0","2","0","0","0","0","0","0","4","0","2","3","0","2","3","40.00"
"313","Bo Horvat","VAN","C","46","177.4","11","6","2","4","17","58.62","47","23.40","7.21","70","60","65","27","0","6","0","0","0","0","0","0","0","1","2","2","0","128","70","64.65"
