"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","72","3485.1","19","38","15","18","53","0.368","3273","3354","49.39","2389","2462","49.25","1697","1755","49.16","148","190","43.79","165.93","152.48","52.11","1857","1740","51.63","1052","986","51.62","126","173","42.14","11.98","82.45","828","680","54.91","546","462","54.17","81","93","46.55","14.84","79.87","1029","1060","49.26","506","524","49.13","45","80","36.00","8.89","84.73","1186","1373","46.35","575","680","45.82","22","17","56.41","3.83","97.50","8.72","89.17","0.979"
"2","Nashville Predators","70","3328.4","36","26","8","31","80","0.571","3164","3346","48.60","2301","2483","48.10","1608","1762","47.72","131","128","50.58","149.37","158.4","48.53","1634","1734","48.52","890","992","47.29","109","112","49.32","12.25","88.71","671","699","48.98","451","486","48.13","75","71","51.37","16.63","85.39","963","1035","48.20","439","506","46.46","34","41","45.33","7.74","91.90","1308","1369","48.86","648","678","48.87","22","16","57.89","3.40","97.64","8.15","92.74","1.009"
"3","Tampa Bay Lightning","73","3490.2","42","25","6","39","90","0.616","3402","3173","51.74","2541","2383","51.60","1784","1750","50.48","155","144","51.84","166.73","151.39","52.41","1909","1648","53.67","1073","960","52.78","134","120","52.76","12.49","87.50","834","677","55.20","551","494","52.73","96","68","58.54","17.42","86.23","1075","971","52.54","522","466","52.83","38","52","42.22","7.28","88.84","1308","1317","49.83","650","717","47.55","20","24","45.45","3.08","96.65","8.69","91.77","1.005"
"4","New York Rangers","72","3508.95","42","20","10","38","94","0.653","3213","3217","49.97","2376","2348","50.30","1714","1693","50.31","156","135","53.61","147.06","151.88","49.19","1635","1677","49.37","890","942","48.58","129","107","54.66","14.49","88.64","673","715","48.49","451","493","47.78","85","70","54.84","18.85","85.80","962","962","50.00","439","449","49.44","44","37","54.32","10.02","91.76","1341","1278","51.20","749","669","52.82","27","28","49.09","3.60","95.81","9.10","92.03","1.011"
"5","Vegas Golden Knights","72","3618.05","45","21","6","41","96","0.667","3404","3628","48.41","2482","2548","49.34","1817","1807","50.14","163","143","53.27","158.87","154.16","50.75","1681","1766","48.77","998","951","51.21","145","120","54.72","14.53","87.38","736","662","52.65","531","464","53.37","92","74","55.42","17.33","84.05","945","1104","46.12","467","487","48.95","53","46","53.54","11.35","90.55","1386","1569","46.90","708","763","48.13","18","22","45.00","2.54","97.12","8.97","92.09","1.011"
"6","Los Angeles Kings","71","3392.0833","41","20","10","35","92","0.648","3353","3047","52.39","2511","2146","53.92","1813","1480","55.06","154","142","52.03","155.59","135.6","53.43","1757","1559","52.99","1024","825","55.38","136","117","53.75","13.28","85.82","747","627","54.37","525","412","56.03","82","77","51.57","15.62","81.31","1010","932","52.01","499","413","54.71","54","40","57.45","10.82","90.31","1367","1227","52.70","723","569","55.96","18","25","41.86","2.49","95.61","8.49","90.41","0.989"
"7","Boston Bruins","71","3343.8333","55","11","5","53","115","0.810","3154","3058","50.77","2386","2247","51.50","1763","1615","52.19","178","96","64.96","153.51","134.83","53.24","1737","1548","52.88","1033","852","54.80","151","81","65.09","14.62","90.49","719","617","53.82","527","436","54.72","96","50","65.75","18.22","88.53","1018","931","52.23","506","416","54.88","55","31","63.95","10.87","92.55","1253","1282","49.43","656","655","50.04","27","15","64.29","4.12","97.71","10.10","94.06","1.042"
"8","Washington Capitals","73","3532.8167","34","31","8","32","76","0.521","3452","3356","50.71","2514","2487","50.27","1803","1754","50.69","157","160","49.53","158.43","155.56","50.46","1704","1673","50.46","977","957","50.52","143","130","52.38","14.64","86.42","712","696","50.57","501","474","51.38","90","85","51.43","17.96","82.07","992","977","50.38","476","483","49.64","53","45","54.08","11.13","90.68","1433","1407","50.46","708","706","50.07","14","30","31.82","1.98","95.75","8.71","90.88","0.996"
"9","Columbus Blue Jackets","71","3494.1833","23","41","7","22","53","0.373","3164","3791","45.49","2313","2792","45.31","1649","2009","45.08","129","192","40.19","141.18","170.78","45.26","1525","1865","44.99","888","1054","45.73","105","160","39.62","11.82","84.82","594","762","43.81","414","525","44.09","61","100","37.89","14.73","80.95","931","1103","45.77","474","529","47.26","44","60","42.31","9.28","88.66","1351","1637","45.21","678","868","43.86","24","32","42.86","3.54","96.31","7.82","90.44","0.983"
"10","Carolina Hurricanes","70","3354.6167","46","16","8","42","100","0.714","3779","2460","60.57","2831","1887","60.00","1912","1366","58.33","151","117","56.34","177.51","117.37","60.20","1842","1213","60.29","1026","741","58.06","130","102","56.03","12.67","86.23","823","574","58.91","560","401","58.27","89","64","58.17","15.89","84.04","1019","639","61.46","466","340","57.82","41","38","51.90","8.80","88.82","1633","980","62.50","824","513","61.63","21","15","58.33","2.55","97.08","7.90","91.43","0.993"
